Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670625294,29.5,0.0,,0,61,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:54-04:00
1670625295,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:55-04:00
1670625296,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:56-04:00
1670625297,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:57-04:00
1670625298,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:58-04:00
1670625299,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:34:59-04:00
1670625300,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:00-04:00
1670625301,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:01-04:00
1670625302,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:02-04:00
1670625303,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:03-04:00
1670625304,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:04-04:00
1670625305,29.5,0.0,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.000,2022-12-09T18:35:05-04:00
1670625307,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.490,0.510,2022-12-09T18:35:07-04:00
1670625307,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:07-04:00
1670625308,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:08-04:00
1670625309,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:09-04:00
1670625310,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:10-04:00
1670625311,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:11-04:00
1670625312,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:12-04:00
1670625313,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:13-04:00
1670625314,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:14-04:00
1670625315,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:15-04:00
1670625316,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:16-04:00
1670625317,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:17-04:00
1670625318,29.5,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.000,0.020,2022-12-09T18:35:18-04:00
1670625319,29.6,0.0,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,16,0.020,0.020,2022-12-09T18:35:19-04:00
