Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669836914,26.8,0.0,,0,100,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,0,0.000,0.000,2022-11-30T15:35:14-04:00
1669836915,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,0,0.000,0.000,2022-11-30T15:35:15-04:00
1669836916,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,0,0.000,0.000,2022-11-30T15:35:16-04:00
1669836917,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,0,0.000,0.000,2022-11-30T15:35:17-04:00
1669836918,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:18-04:00
1669836919,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:19-04:00
1669836920,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:20-04:00
1669836921,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:21-04:00
1669836922,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:22-04:00
1669836923,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:23-04:00
1669836924,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,28,0.000,0.000,2022-11-30T15:35:24-04:00
1669836925,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:25-04:00
1669836926,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:26-04:00
1669836927,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:27-04:00
1669836928,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:28-04:00
1669836929,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:29-04:00
1669836930,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:30-04:00
1669836931,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,216.7,22.07.50954,,,,30,0.000,0.000,2022-11-30T15:35:31-04:00
