Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1651580719,20.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:19-07:00
1651580720,20.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:20-07:00
1651580721,20.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:21-07:00
1651580722,20.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:22-07:00
1651580723,21,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:23-07:00
1651580724,21,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:24-07:00
1651580725,21,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:25-07:00
1651580726,21,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,233.9,22.07.50954,,,,0,0.000,0.000,2022-05-03T05:25:26-07:00
