Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670351811,28.6,0.4,,0,83,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,110,0.000,0.000,2022-12-06T14:36:51-04:00
1670351812,28.5,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:52-04:00
1670351813,28.4,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:53-04:00
1670351814,28.3,0.4,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:54-04:00
1670351815,28.3,0.4,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:55-04:00
1670351816,28.2,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:56-04:00
1670351817,28.2,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:57-04:00
1670351818,28.1,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:58-04:00
1670351819,28.1,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:36:59-04:00
1670351820,28,0.4,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:00-04:00
1670351821,28,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:01-04:00
1670351822,27.9,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:02-04:00
1670351823,27.9,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:03-04:00
1670351824,27.9,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:04-04:00
1670351825,27.8,0.1,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:05-04:00
1670351826,27.8,0.2,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:06-04:00
1670351827,27.8,0.3,,0,83,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,208.0,22.07.50954,,,,102,0.000,0.000,2022-12-06T14:37:07-04:00
