Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669747394,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:14-04:00
1669747387,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:07-04:00
1669747388,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:08-04:00
1669747389,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:09-04:00
1669747390,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:10-04:00
1669747391,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:11-04:00
1669747392,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,22,0.000,0.000,2022-11-29T14:43:12-04:00
1669747393,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:13-04:00
1669747394,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:14-04:00
1669747395,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:15-04:00
1669747396,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:16-04:00
1669747397,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:17-04:00
1669747398,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:18-04:00
1669747399,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,25,0.000,0.000,2022-11-29T14:43:19-04:00
1669747400,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:20-04:00
1669747401,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:21-04:00
1669747402,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:22-04:00
1669747403,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:23-04:00
1669747404,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:24-04:00
1669747405,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:25-04:00
1669747406,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,23,0.000,0.000,2022-11-29T14:43:26-04:00
1669747407,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,24,0.000,0.000,2022-11-29T14:43:27-04:00
1669747408,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,24,0.000,0.000,2022-11-29T14:43:28-04:00
1669747409,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149675,-68.315472,3.10,24,0.000,0.000,2022-11-29T14:43:29-04:00
1669747410,26.8,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149676,-68.315470,2.00,24,0.000,0.000,2022-11-29T14:43:30-04:00
1669747411,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149678,-68.315471,1.20,24,0.000,0.000,2022-11-29T14:43:31-04:00
1669747412,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149682,-68.315470,0.20,24,0.000,0.000,2022-11-29T14:43:32-04:00
1669747413,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149684,-68.315471,0.00,24,0.000,0.000,2022-11-29T14:43:33-04:00
1669747414,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149684,-68.315471,0.30,23,0.000,0.000,2022-11-29T14:43:34-04:00
1669747415,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149680,-68.315472,1.10,23,0.000,0.000,2022-11-29T14:43:35-04:00
1669747416,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149679,-68.315471,1.50,23,0.000,0.000,2022-11-29T14:43:36-04:00
1669747417,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149677,-68.315471,1.60,23,0.000,0.000,2022-11-29T14:43:37-04:00
1669747418,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149677,-68.315471,2.40,23,0.000,0.000,2022-11-29T14:43:38-04:00
1669747419,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149677,-68.315474,2.60,23,0.000,0.000,2022-11-29T14:43:39-04:00
1669747420,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149677,-68.315474,2.70,23,0.000,0.000,2022-11-29T14:43:40-04:00
1669747421,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149677,-68.315473,3.60,18,0.000,0.000,2022-11-29T14:43:41-04:00
1669747422,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149678,-68.315472,4.20,18,0.000,0.000,2022-11-29T14:43:42-04:00
1669747423,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149680,-68.315476,3.70,18,0.000,0.000,2022-11-29T14:43:43-04:00
1669747424,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149679,-68.315473,4.70,18,0.000,0.000,2022-11-29T14:43:44-04:00
1669747425,26.9,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149678,-68.315472,5.40,18,0.000,0.000,2022-11-29T14:43:45-04:00
1669747426,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149679,-68.315473,5.20,18,0.000,0.000,2022-11-29T14:43:46-04:00
1669747427,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149680,-68.315473,5.00,18,0.000,0.000,2022-11-29T14:43:47-04:00
1669747428,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149679,-68.315475,5.20,17,0.000,0.000,2022-11-29T14:43:48-04:00
1669747429,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149678,-68.315475,5.40,17,0.000,0.000,2022-11-29T14:43:49-04:00
1669747430,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149678,-68.315474,5.60,17,0.000,0.000,2022-11-29T14:43:50-04:00
1669747431,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149681,-68.315476,5.10,17,0.000,0.000,2022-11-29T14:43:51-04:00
1669747432,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149684,-68.315477,4.50,17,0.000,0.000,2022-11-29T14:43:52-04:00
1669747433,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149691,-68.315480,3.10,17,0.000,0.000,2022-11-29T14:43:53-04:00
1669747434,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149690,-68.315479,3.20,17,0.000,0.000,2022-11-29T14:43:54-04:00
1669747435,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149692,-68.315482,2.70,25,0.000,0.000,2022-11-29T14:43:55-04:00
1669747436,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149692,-68.315480,2.50,25,0.000,0.000,2022-11-29T14:43:56-04:00
1669747437,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149696,-68.315491,1.30,25,0.000,0.000,2022-11-29T14:43:57-04:00
1669747438,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149695,-68.315492,1.00,25,0.000,0.000,2022-11-29T14:43:58-04:00
1669747439,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149696,-68.315489,0.60,25,0.000,0.000,2022-11-29T14:43:59-04:00
1669747440,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149694,-68.315486,0.70,25,0.000,0.000,2022-11-29T14:44:00-04:00
1669747441,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149698,-68.315492,-0.40,25,0.000,0.000,2022-11-29T14:44:01-04:00
1669747442,27,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149697,-68.315488,-0.10,42,0.000,0.000,2022-11-29T14:44:02-04:00
1669747443,27,0.0,,0,100,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.010,0.000,2022-11-29T14:44:03-04:00
1669747444,27,0.0,,0,100,Video,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.000,0.000,2022-11-29T14:44:04-04:00
1669747445,27,0.0,,0,100,Custom I,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.010,0.000,2022-11-29T14:44:05-04:00
1669747446,27,0.0,,0,100,Custom I,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.030,0.000,2022-11-29T14:44:06-04:00
1669747447,27,0.0,,0,100,Custom I,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.020,0.020,2022-11-29T14:44:07-04:00
1669747448,27,0.0,,0,100,Custom I,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149701,-68.315488,-0.30,42,0.030,0.030,2022-11-29T14:44:08-04:00
1669747449,27,0.0,,0,100,Custom I,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,12.149713,-68.315509,2.40,14,0.040,0.030,2022-11-29T14:44:09-04:00
