Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670625861,26.5,6.4,,0,61,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,154,0.000,0.000,2022-12-09T18:44:21-04:00
1670625862,26.5,6.4,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:22-04:00
1670625863,26.5,6.5,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:23-04:00
1670625865,26.5,6.6,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:25-04:00
1670625866,26.5,6.7,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:26-04:00
1670625867,26.5,6.7,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:27-04:00
1670625868,26.5,6.7,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,153,0.000,0.000,2022-12-09T18:44:28-04:00
1670625869,26.5,6.7,,0,61,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.000,0.000,2022-12-09T18:44:29-04:00
1670625871,26.6,6.8,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.000,0.000,2022-12-09T18:44:31-04:00
1670625872,26.6,6.7,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.475,0.511,2022-12-09T18:44:32-04:00
1670625873,26.6,6.8,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.457,0.534,2022-12-09T18:44:33-04:00
1670625874,26.6,6.8,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.437,0.524,2022-12-09T18:44:34-04:00
1670625875,26.6,6.7,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,159,0.437,0.524,2022-12-09T18:44:35-04:00
1670625876,26.6,6.7,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,151,0.434,0.532,2022-12-09T18:44:36-04:00
1670625877,26.6,6.7,,0,61,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,198.0,22.07.50954,,,,151,0.424,0.542,2022-12-09T18:44:37-04:00
