Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670179020,30.5,0.0,,0,76,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:00-04:00
1670179020,30.5,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:00-04:00
1670179021,30.5,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:01-04:00
1670179022,30.5,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:02-04:00
1670179023,30.5,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:03-04:00
1670179024,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:04-04:00
1670179025,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:05-04:00
1670179026,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:06-04:00
1670179027,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:07-04:00
1670179028,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:08-04:00
1670179029,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:09-04:00
1670179030,30.6,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:10-04:00
1670179031,30.7,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:11-04:00
1670179032,30.7,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:12-04:00
1670179033,30.7,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:13-04:00
1670179034,30.7,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:14-04:00
1670179035,30.7,0.0,,0,76,Navigation,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,210.4,22.07.50954,,,,0,0.000,0.000,2022-12-04T14:37:15-04:00
