Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670638075,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:07:55-04:00
1670638076,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:07:56-04:00
1670638077,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:07:57-04:00
1670638078,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:07:58-04:00
1670638079,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:07:59-04:00
1670638080,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:00-04:00
1670638081,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:01-04:00
1670638082,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:02-04:00
1670638083,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:03-04:00
1670638084,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:04-04:00
1670638085,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:05-04:00
1670638086,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:06-04:00
1670638087,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:07-04:00
1670638088,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:08-04:00
1670638089,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:09-04:00
1670638090,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:10-04:00
1670638091,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,14,0.000,0.000,2022-12-09T22:08:11-04:00
1670638092,39.8,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:12-04:00
1670638093,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:13-04:00
1670638094,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:14-04:00
1670638095,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:15-04:00
1670638096,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:16-04:00
1670638097,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:17-04:00
1670638098,39.7,0.0,,0,31,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,195.3,22.07.50954,,,,16,0.000,0.000,2022-12-09T22:08:18-04:00
