Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670547560,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:20-04:00
1670547561,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:21-04:00
1670547562,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:22-04:00
1670547563,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:23-04:00
1670547564,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:24-04:00
1670547565,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:25-04:00
1670547566,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:26-04:00
1670547567,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:27-04:00
1670547568,24,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:28-04:00
1670547569,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:29-04:00
1670547570,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:30-04:00
1670547571,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:31-04:00
1670547572,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:32-04:00
1670547573,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:33-04:00
1670547574,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:34-04:00
1670547575,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:35-04:00
1670547576,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:36-04:00
1670547577,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:37-04:00
1670547578,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:38-04:00
1670547579,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:39-04:00
1670547580,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:40-04:00
1670547581,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:41-04:00
1670547582,24.1,0.0,,0,100,Unknown,1080p,30,Off,Auto,Off,Off,Off,199.1,22.07.50954,,,,19,0.000,0.000,2022-12-08T20:59:42-04:00
