Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670095166,29,0.0,,0,51,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,17,0.000,0.000,2022-12-03T15:19:26-04:00
1670095167,29,0.0,,0,51,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,17,0.000,0.000,2022-12-03T15:19:27-04:00
1670095168,28.9,0.0,,0,51,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,17,0.000,0.000,2022-12-03T15:19:28-04:00
1670095169,28.7,0.0,,0,51,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.000,0.000,2022-12-03T15:19:29-04:00
1670095170,28.7,0.0,,0,51,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.000,0.000,2022-12-03T15:19:30-04:00
1670095171,28.5,0.0,,0,51,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.000,0.000,2022-12-03T15:19:31-04:00
1670095172,28.4,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.510,0.510,2022-12-03T15:19:32-04:00
1670095173,28.4,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.040,0.040,2022-12-03T15:19:33-04:00
1670095174,28.3,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.050,0.050,2022-12-03T15:19:34-04:00
1670095175,28.2,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:35-04:00
1670095176,28.2,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.060,2022-12-03T15:19:36-04:00
1670095177,28.1,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.060,2022-12-03T15:19:37-04:00
1670095178,28,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.060,2022-12-03T15:19:38-04:00
1670095179,28,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.060,2022-12-03T15:19:39-04:00
1670095180,27.9,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.060,2022-12-03T15:19:40-04:00
1670095181,27.9,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.060,0.040,2022-12-03T15:19:41-04:00
1670095182,27.8,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,91,0.040,0.040,2022-12-03T15:19:42-04:00
1670095183,27.8,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:43-04:00
1670095184,27.7,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:44-04:00
1670095185,27.7,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:45-04:00
1670095186,27.6,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.020,2022-12-03T15:19:46-04:00
1670095187,27.6,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:47-04:00
1670095188,27.6,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.060,2022-12-03T15:19:48-04:00
1670095189,27.5,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,83,0.060,0.030,2022-12-03T15:19:49-04:00
1670095190,27.5,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,79,0.060,0.060,2022-12-03T15:19:50-04:00
1670095191,27.4,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,79,0.050,0.060,2022-12-03T15:19:51-04:00
1670095192,27.4,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,79,0.060,0.060,2022-12-03T15:19:52-04:00
1670095193,27.4,0.0,,0,51,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.1,22.07.50954,,,,79,0.060,0.060,2022-12-03T15:19:53-04:00
