Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670373342,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:42-04:00
1670373343,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:43-04:00
1670373344,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:44-04:00
1670373345,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:45-04:00
1670373346,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:46-04:00
1670373347,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:47-04:00
1670373348,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:48-04:00
1670373349,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:49-04:00
1670373350,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:50-04:00
1670373351,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:51-04:00
1670373352,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:52-04:00
1670373353,30.3,0.0,,0,35,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,On,205.7,22.07.50954,,,,0,0.000,0.000,2022-12-06T20:35:53-04:00
