Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669584318,21.6,0.0,,0,73,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.000,2022-11-27T14:25:18-07:00
1669584319,21.6,0.0,,0,73,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.000,2022-11-27T14:25:19-07:00
1669584320,21.6,0.0,,0,73,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.000,2022-11-27T14:25:20-07:00
1669584321,21.6,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.000,2022-11-27T14:25:21-07:00
1669584322,21.7,0.0,,0,73,Custom II,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.020,2022-11-27T14:25:22-07:00
1669584323,21.7,0.0,,0,73,Custom I,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.000,0.000,2022-11-27T14:25:23-07:00
1669584324,21.7,0.0,,0,73,Custom II,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.480,0.500,2022-11-27T14:25:24-07:00
1669584325,21.7,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:25-07:00
1669584326,21.7,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:26-07:00
1669584327,21.7,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:27-07:00
1669584328,21.7,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:28-07:00
1669584329,21.8,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:29-07:00
1669584330,21.8,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:30-07:00
1669584331,21.8,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:31-07:00
1669584332,21.8,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:32-07:00
1669584333,21.8,0.0,,0,73,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.9,22.07.50954,,,,0,0.450,0.500,2022-11-27T14:25:33-07:00
