Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670088560,27.6,0.0,,0,71,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:20-04:00
1670088560,27.6,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:20-04:00
1670088559,27.5,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:19-04:00
1670088560,27.5,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:20-04:00
1670088561,27.5,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:21-04:00
1670088562,27.4,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:22-04:00
1670088563,27.4,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:23-04:00
1670088564,27.4,0.0,,0,71,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.000,0.000,2022-12-03T13:29:24-04:00
1670088565,27.4,0.0,,0,71,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,88,0.510,0.510,2022-12-03T13:29:25-04:00
1670088566,27.3,0.0,,0,71,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.050,0.050,2022-12-03T13:29:26-04:00
1670088567,27.3,0.0,,0,71,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.050,0.050,2022-12-03T13:29:27-04:00
1670088568,27.3,0.0,,0,71,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.050,0.050,2022-12-03T13:29:28-04:00
1670088569,27.3,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.060,0.060,2022-12-03T13:29:29-04:00
1670088570,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.060,0.060,2022-12-03T13:29:30-04:00
1670088571,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.060,0.060,2022-12-03T13:29:31-04:00
1670088572,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,8,0.060,0.060,2022-12-03T13:29:32-04:00
1670088573,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,87,0.050,0.020,2022-12-03T13:29:33-04:00
1670088574,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,87,0.060,0.060,2022-12-03T13:29:34-04:00
1670088575,27.2,0.0,,0,70,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,211.6,22.07.50954,,,,87,0.060,0.060,2022-12-03T13:29:35-04:00
