Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1670633106,23,0.0,,0,41,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:06-04:00
1670633107,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:07-04:00
1670633108,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:08-04:00
1670633109,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:09-04:00
1670633110,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:10-04:00
1670633111,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:11-04:00
1670633112,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:12-04:00
1670633113,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:13-04:00
1670633114,23,0.0,,0,41,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:14-04:00
1670633115,23,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:15-04:00
1670633116,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:16-04:00
1670633117,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:17-04:00
1670633118,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:18-04:00
1670633119,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:19-04:00
1670633120,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:20-04:00
1670633121,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:21-04:00
1670633122,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:22-04:00
1670633123,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:23-04:00
1670633124,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:24-04:00
1670633125,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:25-04:00
1670633126,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:26-04:00
1670633127,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:27-04:00
1670633128,23.1,0.0,,0,40,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,36,0.000,0.000,2022-12-09T20:45:28-04:00
1670633129,23.2,0.0,,0,40,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,34,0.000,0.000,2022-12-09T20:45:29-04:00
1670633130,23.2,0.0,,0,40,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,34,0.000,0.000,2022-12-09T20:45:30-04:00
1670633131,23.2,0.0,,0,40,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,34,0.000,0.000,2022-12-09T20:45:31-04:00
1670633132,23.2,0.0,,0,40,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,34,0.000,0.000,2022-12-09T20:45:32-04:00
1670633133,23.2,0.0,,0,40,Settings,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,195.3,22.07.50954,,,,34,0.000,0.000,2022-12-09T20:45:33-04:00
