Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669649676,26.9,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.510,0.500,2022-11-28T08:34:36-07:00
1669649658,26.9,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.080,0.714,2022-11-28T08:34:18-07:00
1669649659,26.9,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.053,0.714,2022-11-28T08:34:19-07:00
1669649660,26.9,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.140,0.714,2022-11-28T08:34:20-07:00
1669649661,27,0.0,/DCIM/100PRLNZ/PARA0198.JPG,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.150,0.724,2022-11-28T08:34:21-07:00
1669649662,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.010,0.724,2022-11-28T08:34:22-07:00
1669649663,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.087,0.786,2022-11-28T08:34:23-07:00
1669649664,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,1.000,1.000,2022-11-28T08:34:24-07:00
1669649665,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.010,0.000,2022-11-28T08:34:25-07:00
1669649666,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.010,0.714,2022-11-28T08:34:26-07:00
1669649667,27,0.0,,0,76,Snap,4K,60,ON/DEPTH/TEMP,DCC,Off,Off,Off,221.0,22.07.50954,,,,0,0.070,0.714,2022-11-28T08:34:27-07:00
