Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669984918,26.7,0.0,,0,100,Unknown,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,18,0.000,0.000,2022-12-02T08:41:58-04:00
1669984919,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,18,0.000,0.000,2022-12-02T08:41:59-04:00
1669984920,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,18,0.000,0.000,2022-12-02T08:42:00-04:00
1669984921,26.7,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:01-04:00
1669984922,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:02-04:00
1669984923,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:03-04:00
1669984924,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:04-04:00
1669984925,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:05-04:00
1669984926,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:06-04:00
1669984927,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,15,0.000,0.000,2022-12-02T08:42:07-04:00
1669984928,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,106,0.000,0.000,2022-12-02T08:42:08-04:00
1669984929,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,106,0.000,0.000,2022-12-02T08:42:09-04:00
1669984930,26.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,214.5,22.07.50954,,,,106,0.000,0.000,2022-12-02T08:42:10-04:00
