Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware,Lat,Lng,Alt,Salinity,RDRP,BDRP,ISO8601
1669685847,21.4,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:27-07:00
1669685848,21.4,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:28-07:00
1669685849,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:29-07:00
1669685850,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:30-07:00
1669685851,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:31-07:00
1669685852,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:32-07:00
1669685853,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:33-07:00
1669685854,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:34-07:00
1669685855,21.5,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:35-07:00
1669685856,21.6,0.0,,0,100,Power,1080p,30,ON/DEPTH/TEMP,DCC,Off,Off,Off,220.0,22.07.50954,,,,0,0.000,0.000,2022-11-28T18:37:36-07:00
